section,mask_id_xenium,mask_id_cz,match_iou,cell_id_xenium,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,supertype_label,supertype_name,supertype_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
7,9296,2473,0.826530612244898,jcobcoof-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.83,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.75
7,9297,1846,0.6363636363636364,jcocacji-1,CS20230722_CLAS_01,01 IT-ET Glut,0.99,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,1.0,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,1.0
7,9299,2123,0.7623762376237624,jcoefcea-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.74,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.84
7,9300,2325,0.8141592920353983,jcolnnnd-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.53,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.99
7,9301,2781,0.547945205479452,jconjgbl-1,CS20230722_CLAS_01,01 IT-ET Glut,0.97,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.46,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.83
7,9302,2321,0.7373737373737373,jcpbnalh-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.83,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.95,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.45
7,9305,2059,0.6089743589743589,jdakjhkk-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.88,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.97
7,9307,1954,0.4489795918367347,jdamglgj-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,1.0,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.93
7,9309,2535,0.5128205128205128,jdaninem-1,CS20230722_CLAS_01,01 IT-ET Glut,0.99,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.65,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.76
7,9310,2474,0.6582278481012658,jdapgipa-1,CS20230722_CLAS_01,01 IT-ET Glut,0.97,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.86,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.83,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.58
7,9311,2329,0.6776859504132231,jdbbkjam-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.74,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.69
7,9312,2472,0.625,jdbdjnch-1,CS20230722_CLAS_01,01 IT-ET Glut,0.98,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.99,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.49,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,1.0
7,9313,2403,0.5454545454545454,jdbleeca-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.71,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,1.0
7,9314,2539,0.7102803738317757,jdblmief-1,CS20230722_CLAS_01,01 IT-ET Glut,0.92,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.98,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.64,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.8
